text,sentiment,language
I love this application,positive,english
Worst app ever,negative,english
बहुत उपयोगी ऐप,positive,hindi
यह ऐप बहुत खराब है,negative,hindi
ఈ యాప్ చాలా బాగుంది,positive,telugu
ఈ యాప్ చాలా చెడ్డది,negative,telugu
ಬಹಳ ಉಪಯುಕ್ತ ಆಪ್,positive,kannada
ಉಪಯೋಗವಿಲ್ಲದ ಆಪ್,negative,kannada
Very useful and easy to use,positive,english
This app is terrible,negative,english
यह ऐप बहुत अच्छा है,positive,hindi
यह ऐप बहुत खराब है,negative,hindi
ఈ యాప్ చాలా బాగుంది,positive,telugu
చాలా చెడు అనుభవం,negative,telugu
ಈ ಆಪ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ,positive,kannada
ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ,negative,kannada
I love this application,positive,english
Not useful at all,negative,english
यह ऐप बहुत अच्छा है,positive,hindi
सबसे खराब ऐप,negative,hindi
నాకు ఈ యాప్ చాలా ఇష్టం,positive,telugu
ఈ యాప్ చాలా చెడ్డది,negative,telugu
ಬಹಳ ಉಪಯುಕ್ತ ಆಪ್,positive,kannada
ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ,negative,kannada
This app is amazing,positive,english
This app is terrible,negative,english
बहुत उपयोगी ऐप,positive,hindi
सबसे खराब ऐप,negative,hindi
నాకు ఈ యాప్ చాలా ఇష్టం,positive,telugu
చాలా చెడు అనుభవం,negative,telugu
ನನಗೆ ಈ ಆಪ್ ತುಂಬಾ ಇಷ್ಟ,positive,kannada
ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ,negative,kannada
This app is amazing,positive,english
Very bad experience,negative,english
यह ऐप बहुत अच्छा है,positive,hindi
मुझे यह ऐप पसंद नहीं है,negative,hindi
ఈ యాప్ చాలా బాగుంది,positive,telugu
ఈ యాప్ చాలా చెడ్డది,negative,telugu
ಬಹಳ ಉಪಯುಕ್ತ ಆಪ್,positive,kannada
ಉಪಯೋಗವಿಲ್ಲದ ಆಪ್,negative,kannada
This app is amazing,positive,english
Very bad experience,negative,english
यह ऐप बहुत अच्छा है,positive,hindi
यह ऐप बहुत खराब है,negative,hindi
నాకు ఈ యాప్ చాలా ఇష్టం,positive,telugu
చాలా చెడు అనుభవం,negative,telugu
ನನಗೆ ಈ ಆಪ್ ತುಂಬಾ ಇಷ್ಟ,positive,kannada
ಈ ಆಪ್ ತುಂಬಾ ಕೆಟ್ಟದು,negative,kannada
I love this application,positive,english
Worst app ever,negative,english
शानदार अनुभव,positive,hindi
बेकार ऐप,negative,hindi
చాలా ఉపయోగకరమైన యాప్,positive,telugu
అత్యంత చెత్త యాప్,negative,telugu
ಬಹಳ ಉತ್ತಮ ಆಪ್,positive,kannada
ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ,negative,kannada
Very useful and easy to use,positive,english
This app is terrible,negative,english
यह ऐप बहुत अच्छा है,positive,hindi
मुझे यह ऐप पसंद नहीं है,negative,hindi
చాలా మంచి యాప్,positive,telugu
అత్యంత చెత్త యాప్,negative,telugu
ಈ ಆಪ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ,positive,kannada
ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ,negative,kannada
Great app,positive,english
Not useful at all,negative,english
मुझे यह ऐप पसंद है,positive,hindi
यह ऐप बहुत खराब है,negative,hindi
నాకు ఈ యాప్ చాలా ఇష్టం,positive,telugu
నాకు ఈ యాప్ నచ్చలేదు,negative,telugu
